timestamp,step,peak_equity,equity,drawdown_pct
1762747200000,0,10000.000000,10000.000000,0.000000
1763733600000,1,10000.000000,9818.064428,1.819356
1764622800000,2,10000.000000,9776.532289,2.234677
1764990000000,3,10000.000000,9689.664957,3.103350
1765119600000,4,10000.000000,9753.097717,2.469023
1765476000000,5,10000.000000,9745.273717,2.547263
1765602000000,6,10000.000000,9757.586794,2.424132
1765760400000,7,10000.000000,9741.426810,2.585732
1767733200000,8,10000.000000,9761.363195,2.386368
1768593600000,9,10000.000000,9801.441476,1.985585
1768820400000,10,10000.000000,9766.526112,2.334739
1768971600000,11,10000.000000,9704.248229,2.957518
1769389200000,12,10000.000000,9761.935515,2.380645
1769770800000,13,10000.000000,9649.942543,3.500575
