timestamp,step,equity,peak_equity,drawdown_pct
1764547200000,0,10000.000000,10000.000000,0.000000
1764990000000,1,9911.147092,10000.000000,0.888529
1765119600000,2,9976.029770,10000.000000,0.239702
1765476000000,3,9968.026933,10000.000000,0.319731
1765602000000,4,9980.621457,10000.000000,0.193785
1765760400000,5,9964.092095,10000.000000,0.359079
1767733200000,6,9984.484177,10000.000000,0.155158
1768593600000,7,10025.478550,10025.478550,0.000000
1768820400000,8,9989.765106,10025.478550,0.356227
1768971600000,9,9926.063703,10025.478550,0.991622
1769389200000,10,9985.069579,10025.478550,0.403063
1769770800000,11,9870.516721,10025.478550,1.545680
1770166800000,12,9856.512290,10025.478550,1.685369
1770652800000,13,9944.359142,10025.478550,0.809133
1770944400000,14,9978.995242,10025.478550,0.463652
1771351200000,15,10060.132706,10060.132706,0.000000
