timestamp,step,equity,peak_equity,drawdown_pct
1762747200000,0,10000.000000,10000.000000,0.000000
1763733600000,1,9818.064428,10000.000000,1.819356
1764622800000,2,9776.532289,10000.000000,2.234677
1764990000000,3,9689.664957,10000.000000,3.103350
1765119600000,4,9753.097717,10000.000000,2.469023
1765476000000,5,9745.273717,10000.000000,2.547263
1765602000000,6,9757.586794,10000.000000,2.424132
1765760400000,7,9741.426810,10000.000000,2.585732
1767733200000,8,9761.363195,10000.000000,2.386368
1768593600000,9,9801.441476,10000.000000,1.985585
1768820400000,10,9766.526112,10000.000000,2.334739
1768971600000,11,9704.248229,10000.000000,2.957518
1769389200000,12,9761.935515,10000.000000,2.380645
1769770800000,13,9649.942543,10000.000000,3.500575
