mode_name,config_name,timestamp,equity
CONFIG_A,CONFIG_A,1772496000000,10000.000000
CONFIG_A,CONFIG_A,1772499600000,10000.000000
CONFIG_A,CONFIG_A,1772503200000,10000.000000
CONFIG_A,CONFIG_A,1772506800000,10000.000000
CONFIG_A,CONFIG_A,1772510400000,10000.000000
CONFIG_A,CONFIG_A,1772514000000,10000.000000
CONFIG_A,CONFIG_A,1772517600000,10000.000000
CONFIG_A,CONFIG_A,1772521200000,10000.000000
CONFIG_A,CONFIG_A,1772524800000,10000.000000
CONFIG_A,CONFIG_A,1772528400000,10000.000000
CONFIG_A,CONFIG_A,1772532000000,10000.000000
CONFIG_A,CONFIG_A,1772535600000,10000.000000
CONFIG_A,CONFIG_A,1772539200000,10000.000000
CONFIG_A,CONFIG_A,1772542800000,10000.000000
CONFIG_A,CONFIG_A,1772546400000,10000.000000
CONFIG_A,CONFIG_A,1772550000000,10000.000000
CONFIG_A,CONFIG_A,1772553600000,10000.000000
CONFIG_A,CONFIG_A,1772557200000,10000.000000
CONFIG_A,CONFIG_A,1772560800000,10000.000000
CONFIG_A,CONFIG_A,1772564400000,10000.000000
CONFIG_A,CONFIG_A,1772568000000,10000.000000
CONFIG_A,CONFIG_A,1772571600000,10000.000000
CONFIG_A,CONFIG_A,1772575200000,10000.000000
CONFIG_A,CONFIG_A,1772578800000,10000.000000
CONFIG_A,CONFIG_A,1772582400000,10000.000000
CONFIG_A,CONFIG_A,1772586000000,10000.000000
CONFIG_A,CONFIG_A,1772589600000,10000.000000
CONFIG_A,CONFIG_A,1772593200000,10000.000000
CONFIG_A,CONFIG_A,1772596800000,10000.000000
CONFIG_A,CONFIG_A,1772600400000,10000.000000
CONFIG_A,CONFIG_A,1772604000000,10000.000000
CONFIG_A,CONFIG_A,1772607600000,10000.000000
CONFIG_A,CONFIG_A,1772611200000,10000.000000
CONFIG_A,CONFIG_A,1772614800000,10000.000000
CONFIG_A,CONFIG_A,1772618400000,10000.000000
CONFIG_A,CONFIG_A,1772622000000,10000.000000
CONFIG_A,CONFIG_A,1772625600000,10000.000000
CONFIG_A,CONFIG_A,1772629200000,10000.000000
CONFIG_A,CONFIG_A,1772632800000,10000.000000
CONFIG_A,CONFIG_A,1772636400000,10000.000000
CONFIG_A,CONFIG_A,1772640000000,10000.000000
CONFIG_A,CONFIG_A,1772643600000,10000.000000
CONFIG_A,CONFIG_A,1772647200000,10000.000000
CONFIG_A,CONFIG_A,1772650800000,10000.000000
CONFIG_A,CONFIG_A,1772654400000,10000.000000
CONFIG_A,CONFIG_A,1772658000000,10000.000000
CONFIG_A,CONFIG_A,1772661600000,10000.000000
CONFIG_A,CONFIG_A,1772665200000,10000.000000
CONFIG_A,CONFIG_A,1772668800000,10000.000000
CONFIG_A,CONFIG_A,1772672400000,9992.508741
CONFIG_A,CONFIG_A,1772676000000,9990.269849
CONFIG_A,CONFIG_A,1772679600000,9989.698598
CONFIG_A,CONFIG_A,1772683200000,10011.572009
CONFIG_A,CONFIG_A,1772686800000,9976.324301
CONFIG_A,CONFIG_A,1772690400000,9976.324301
CONFIG_A,CONFIG_A,1772694000000,9976.324301
CONFIG_A,CONFIG_A,1772697600000,9976.324301
CONFIG_A,CONFIG_A,1772701200000,9976.324301
CONFIG_A,CONFIG_A,1772704800000,9976.324301
CONFIG_A,CONFIG_A,1772708400000,9976.324301
CONFIG_A,CONFIG_A,1772712000000,9976.324301
CONFIG_A,CONFIG_A,1772715600000,9976.324301
CONFIG_A,CONFIG_A,1772719200000,9976.324301
CONFIG_A,CONFIG_A,1772722800000,9976.324301
CONFIG_A,CONFIG_A,1772726400000,9976.324301
