row_type,split_name,train_start_index,train_end_index,test_start_index,test_end_index,train_return_pct,test_return_pct,train_max_drawdown_pct,test_max_drawdown_pct,train_closed_trades,test_closed_trades,avg_train_return_pct,avg_test_return_pct,std_test_return_pct,positive_test_rate,worst_test_return_pct
split,split_1,0,599,600,899,-0.165615,-0.814903,0.736190,1.526046,1,1,,,,,
split,split_2,300,899,900,1199,-0.892387,0.410581,2.063957,0.049950,1,1,,,,,
split,split_3,600,1199,1200,1499,-0.583769,0.000000,2.063957,0.000000,2,0,,,,,
split,split_4,900,1499,1500,1799,0.000000,0.000000,0.000000,0.000000,0,0,,,,,
aggregate,aggregate,,,,,,,,,,,-0.410443,-0.101081,0.444909,0.250000,-0.814903
