row_type,split_name,train_start_index,train_end_index,test_start_index,test_end_index,train_return_pct,test_return_pct,train_max_drawdown_pct,test_max_drawdown_pct,train_closed_trades,test_closed_trades,avg_train_return_pct,avg_test_return_pct,std_test_return_pct,positive_test_rate,worst_test_return_pct
split,split_1,0,599,600,899,0.533258,2.256237,3.501011,0.216556,5,2,,,,,
split,split_2,300,899,900,1199,3.380049,1.092330,2.236960,1.339817,5,4,,,,,
split,split_3,600,1199,1200,1499,3.373212,-3.043474,1.339817,3.434476,6,2,,,,,
split,split_4,900,1499,1500,1799,-2.564628,0.240262,4.290155,0.802766,5,3,,,,,
aggregate,aggregate,,,,,,,,,,,1.180473,0.136339,1.970399,0.750000,-3.043474
