timestamp,symbol,signal,action_taken,price,position_qty,cash,equity,notes
2026-03-23T19:54:56.199641+00:00,BTCUSDT,hold,hold,70763.03000000,0.07059863,5000.00000000,9995.77310812,signal_hold
2026-03-23T19:55:05.949735+00:00,BTCUSDT,hold,hold,70759.81000000,0.07059863,5000.00000000,9995.54578053,signal_hold
2026-03-23T19:59:27.039735+00:00,BTCUSDT,hold,hold,70695.99000000,0.07059863,5000.00000000,9991.04017584,no_new_candles
2026-03-23T20:43:22.309297+00:00,BTCUSDT,hold,hold,70915.66000000,0.07059863,5000.00000000,10006.54857731,signal_hold
2026-03-23T21:06:02.935564+00:00,BTCUSDT,hold,hold,70891.09000000,0.07059863,5000.00000000,10004.81396892,signal_hold
2026-03-23T21:11:02.386930+00:00,BTCUSDT,hold,hold,70865.67000000,0.07059863,5000.00000000,10003.01935170,no_new_candles
2026-03-23T21:16:02.373851+00:00,BTCUSDT,hold,hold,70897.99000000,0.07059863,5000.00000000,10005.30109948,no_new_candles
2026-03-23T21:17:19.788502+00:00,BTCUSDT,hold,hold,70879.78000000,0.07059863,5000.00000000,10004.01549840,no_new_candles
2026-03-23T21:21:41.958003+00:00,BTCUSDT,hold,hold,70862.43000000,0.07059863,5000.00000000,10002.79061213,no_new_candles
2026-03-23T22:21:42.131736+00:00,BTCUSDT,hold,hold,70664.31000000,0.07059863,5000.00000000,9988.80361118,signal_hold
2026-03-23T23:21:43.691789+00:00,BTCUSDT,hold,hold,70420.32000000,0.07059863,5000.00000000,9971.57825098,signal_hold
2026-03-24T00:21:43.712908+00:00,BTCUSDT,hold,hold,70771.06000000,0.07059863,5000.00000000,9996.34001513,signal_hold
2026-03-24T01:21:43.744587+00:00,BTCUSDT,hold,hold,70753.06000000,0.07059863,5000.00000000,9995.06923976,signal_hold
2026-03-24T02:21:46.102931+00:00,BTCUSDT,hold,hold,70554.41000000,0.07059863,5000.00000000,9981.04482153,signal_hold
2026-03-24T22:26:56.765959+00:00,BTCUSDT,sell,hold,70397.46000000,0.00000000,9956.98171202,9956.98171202,signal_hold
