timestamp,equity
1773064800000,10000.0
1773068400000,10000.0
1773072000000,10000.0
1773075600000,10000.0
1773079200000,10000.0
1773082800000,10000.0
1773086400000,10000.0
1773090000000,10000.0
1773093600000,10000.0
1773097200000,10000.0
1773100800000,10000.0
1773104400000,10000.0
1773108000000,10000.0
1773111600000,10000.0
1773115200000,10000.0
1773118800000,10000.0
1773122400000,10000.0
1773126000000,10000.0
1773129600000,10000.0
1773133200000,10000.0
1773136800000,10000.0
1773140400000,10000.0
1773144000000,10000.0
1773147600000,10000.0
1773151200000,10000.0
1773154800000,10000.0
1773158400000,10000.0
1773162000000,10000.0
1773165600000,10000.0
1773169200000,10000.0
1773172800000,10000.0
1773176400000,10000.0
1773180000000,10000.0
1773183600000,10000.0
1773187200000,10000.0
1773190800000,10000.0
1773194400000,10000.0
1773198000000,10000.0
1773201600000,10000.0
1773205200000,10000.0
1773208800000,10000.0
1773212400000,10000.0
1773216000000,10000.0
1773219600000,10000.0
1773223200000,10000.0
1773226800000,10000.0
1773230400000,10000.0
1773234000000,10000.0
1773237600000,10000.0
1773241200000,10000.0
1773244800000,10000.0
1773248400000,10000.0
1773252000000,9995.004995004994
1773255600000,9996.715321501026
1773259200000,9996.230092395866
1773262800000,10003.74902153268
1773266400000,9977.701555355525
1773270000000,9964.888253256428
1773273600000,9967.256397635549
1773277200000,9940.092763050314
1773280800000,9900.853572658521
1773284400000,9912.174406227168
1773288000000,9901.990112201045
1773291600000,9901.990112201045
1773295200000,9901.990112201045
1773298800000,9901.990112201045
1773302400000,9901.990112201045
1773306000000,9901.990112201045
1773309600000,9901.990112201045
1773313200000,9901.990112201045
1773316800000,9901.990112201045
1773320400000,9901.990112201045
1773324000000,9901.990112201045
1773327600000,9901.990112201045
1773331200000,9901.990112201045
1773334800000,9901.990112201045
1773338400000,9901.990112201045
1773342000000,9901.990112201045
1773345600000,9901.990112201045
1773349200000,9901.990112201045
1773352800000,9897.044063193953
1773356400000,9922.818963456979
1773360000000,9988.66724365588
1773363600000,10002.536494062657
1773367200000,9965.280944349686
1773370800000,9983.743441270386
1773374400000,9982.911060706792
1773378000000,9993.64884045815
1773381600000,9979.250277770883
1773385200000,9998.295652529087
1773388800000,10013.012084508635
1773392400000,10026.089833329537
1773396000000,10057.915527105226
1773399600000,10041.754234706234
1773403200000,10080.935325231852
1773406800000,10122.832753346034
1773410400000,10134.0886500222
1773414000000,10095.517801577378
1773417600000,10099.303798401652
1773421200000,10022.826278130347
1773424800000,10024.061619308733
