row_type,split_name,train_start_index,train_end_index,test_start_index,test_end_index,train_return_pct,test_return_pct,train_max_drawdown_pct,test_max_drawdown_pct,train_closed_trades,test_closed_trades,avg_train_return_pct,avg_test_return_pct,std_test_return_pct,positive_test_rate,worst_test_return_pct
split,split_1,0,599,600,899,0.891257,0.929948,0.400482,0.097245,1,1,,,,,
split,split_2,300,899,900,1199,1.829493,1.241112,0.400482,0.954216,2,3,,,,,
split,split_3,600,1199,1200,1499,2.182601,-2.488098,0.954216,2.778081,4,2,,,,,
split,split_4,900,1499,1500,1799,-3.209922,-0.050959,3.497758,0.802766,3,3,,,,,
aggregate,aggregate,,,,,,,,,,,0.423357,-0.091999,1.463261,0.500000,-2.488098
