rank,variant_name,regime_filter_enabled,regime_window,min_regime_volatility_pct,avg_return,std_return,scenario_win_rate,worst_return,avg_drawdown,avg_profit_factor
1,regime_w50_min2.0,True,50,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,regime_w50_min3.0,True,50,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,regime_w50_min4.0,True,50,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,regime_w50_min5.0,True,50,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,regime_w50_min6.0,True,50,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,base_actual,False,50,2.000000,0.663887,1.833349,50.000000,-1.097902,1.287881,2.353202
