timestamp,step,equity,peak_equity,drawdown_pct
1768147200000,0,10000.000000,10000.000000,0.000000
1768593600000,1,10041.058078,10041.058078,0.000000
1768809600000,2,10008.879863,10041.058078,0.320466
1770652800000,3,10098.084701,10098.084701,0.000000
1771826400000,4,10191.991595,10191.991595,0.000000
1772143200000,5,10252.686108,10252.686108,0.000000
1772283600000,6,10395.437029,10395.437029,0.000000
1772834400000,7,10318.485645,10395.437029,0.740242
1773874800000,8,10187.747920,10395.437029,1.997887
1774184400000,9,10061.751584,10395.437029,3.209922
1774641600000,10,10015.336091,10395.437029,3.656421
1774832400000,11,10065.538426,10395.437029,3.173494
1775138400000,12,10056.624178,10395.437029,3.259246
