row_type,split_name,train_start_index,train_end_index,test_start_index,test_end_index,train_return_pct,test_return_pct,train_max_drawdown_pct,test_max_drawdown_pct,train_closed_trades,test_closed_trades,avg_train_return_pct,avg_test_return_pct,std_test_return_pct,positive_test_rate,worst_test_return_pct
split,split_1,0,599,600,899,0.000000,0.204656,0.000000,0.644378,0,1,,,,,
split,split_2,300,899,900,1199,0.204656,0.278906,0.644378,0.324750,1,1,,,,,
split,split_3,600,1199,1200,1499,0.484133,0.891257,0.644378,0.400482,2,1,,,,,
split,split_4,900,1499,1500,1799,0.891257,0.000000,0.400482,0.000000,1,0,,,,,
aggregate,aggregate,,,,,,,,,,,0.395011,0.343705,0.332220,0.750000,0.000000
