timestamp,step,equity,peak_equity,drawdown_pct
1768147200000,0,10000.000000,10000.000000,0.000000
1768766400000,1,10027.890624,10027.890624,0.000000
1770652800000,2,10117.264897,10117.264897,0.000000
1772143200000,3,10177.514403,10177.514403,0.000000
1773064800000,4,10163.200999,10177.514403,0.140638
1774094400000,5,9998.008841,10177.514403,1.763747
1774292400000,6,10014.802618,10177.514403,1.598738
1774832400000,7,10065.002279,10177.514403,1.105497
1775300400000,8,10077.781349,10177.514403,0.979935
