timestamp,step,peak_equity,equity,drawdown_pct
1762747200000,0,10000.000000,10000.000000,0.000000
1763676000000,1,10000.677872,10000.677872,0.000000
1764576000000,2,10000.677872,9983.202236,0.174745
1765119600000,3,10048.556618,10048.556618,0.000000
1765465200000,4,10048.556618,9994.155430,0.541383
1765584000000,5,10048.556618,10005.679470,0.426700
1765760400000,6,10048.556618,9989.108608,0.591607
1767733200000,7,10048.556618,10009.551888,0.388163
1768593600000,8,10050.649185,10050.649185,0.000000
1768809600000,9,10050.649185,10018.440233,0.320466
